,bank_name,9/30/12,6/30/12,3/31/12,12/31/11,9/30/11,6/30/11,3/31/11,12/31/10,9/30/10,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03,12/31/02,,
Concentration in RE,NOVA Bank,1994%,1729%,1275%,1247%,1231%,1080%,1063%,1247%,1013%,980%,1018%,1054%,686%,689%,793%,808%,741%,789%,784%,775%,789%,747%,722%,743%,685%,642%,634%,704%,677%,732%,682%,661%,636%,715%,608%,672%,697%,646%,604%,586%,,
Concentration in Commercial RE,NOVA Bank,1287%,1106%,810%,798%,788%,681%,677%,785%,639%,606%,624%,646%,407%,410%,422%,438%,406%,428%,439%,432%,453%,428%,401%,447%,404%,389%,382%,438%,448%,484%,474%,520%,512%,566%,542%,603%,639%,595%,554%,539%, , 
Concentration in Commercial RE NOO,NOVA Bank,842%,710%,522%,522%,516%,455%,441%,521%,428%,407%,420%,446%,280%,289%,282%,305%,283%,295%,317%,316%,348%,342%,341%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, , 
Concentration in Construction & Development,NOVA Bank,106%,93%,74%,71%,76%,66%,72%,88%,67%,71%,72%,85%,51%,50%,61%,79%,72%,70%,71%,57%,71%,74%,72%,87%,77%,69%,62%,44%,41%,36%,28%,15%,18%,26%,24%,26%,27%,27%,28%,26%,,
Concentration in 1-4 Family,NOVA Bank,707%,623%,465%,449%,441%,397%,383%,457%,370%,371%,391%,404%,277%,277%,368%,367%,333%,360%,344%,343%,336%,318%,321%,295%,282%,253%,251%,266%,229%,248%,208%,142%,124%,149%,67%,69%,58%,52%,50%,46%,,
Concentration in Commercial & Industrial,NOVA Bank,366%,319%,245%,236%,258%,243%,246%,303%,227%,222%,238%,240%,194%,205%,152%,130%,115%,121%,86%,61%,59%,41%,79%,34%,30%,8%,15%,28%,19%,14%,17%,15%,16%,32%,29%,33%,32%,30%,21%,24%,  , 
Concentration in Individual Loans,NOVA Bank,12%,17%,8%,12%,9%,6%,6%,11%,3%,3%,3%,4%,10%,11%,7%,7%,5%,7%,6%,6%,12%,11%,10%,13%,12%,14%,34%,30%,38%,40%,38%,34%,21%,26%,24%,23%,16%,18%,3%,4%,,
