,bank_name,9/30/20,6/30/20,3/31/20,12/31/19,9/30/19,6/30/19,3/31/19,12/31/18,9/30/18,6/30/18,3/31/18,12/31/17,9/30/17,6/30/17,3/31/17,12/31/16,9/30/16,6/30/16,3/31/16,12/31/15,9/30/15,6/30/15,3/31/15,12/31/14,9/30/14,6/30/14,3/31/14,12/31/13,9/30/13,6/30/13,3/31/13,12/31/12,9/30/12,6/30/12,3/31/12,12/31/11,9/30/11,6/30/11,3/31/11,12/31/10,9/30/10,6/30/10,3/31/10,12/31/09,9/30/09,6/30/09,3/31/09,12/31/08,9/30/08,6/30/08,3/31/08,12/31/07,9/30/07,6/30/07,3/31/07,12/31/06,9/30/06,6/30/06,3/31/06,12/31/05,9/30/05,6/30/05,3/31/05,12/31/04,9/30/04,6/30/04,3/31/04,12/31/03,9/30/03,6/30/03,3/31/03,12/31/02
Concentration in RE,Lumbee Guaranty Bank,399%,398%,405%,399%,394%,396%,392%,400%,405%,404%,397%,413%,401%,406%,411%,413%,424%,434%,434%,435%,444%,462%,446%,460%,471%,478%,477%,476%,476%,479%,466%,467%,463%,490%,485%,492%,495%,498%,493%,487%,497%,506%,495%,505%,489%,471%,446%,438%,426%,436%,424%,444%,445%,448%,450%,454%,454%,449%,439%,436%,449%,456%,444%,429%,432%,422%,398%,405%,389%,378%,371%,365%
Concentration in Commercial RE,Lumbee Guaranty Bank,243%,240%,244%,241%,239%,242%,242%,249%,254%,250%,243%,258%,252%,258%,259%,260%,269%,270%,267%,270%,277%,288%,278%,287%,291%,293%,291%,292%,283%,282%,271%,274%,270%,291%,290%,294%,299%,304%,296%,282%,294%,300%,295%,300%,290%,268%,247%,242%,238%,247%,241%,254%,260%,261%,259%,258%,252%,245%,235%,229%,240%,243%,238%,226%,229%,211%,200%,208%,198%,191%,191%,186%
Concentration in Commercial RE NOO,Lumbee Guaranty Bank,125%,114%,119%,118%,122%,123%,128%,131%,132%,127%,122%,129%,124%,125%,125%,126%,132%,130%,125%,134%,138%,146%,138%,144%,150%,152%,153%,146%,147%,145%,143%,148%,144%,154%,159%,155%,156%,157%,149%,145%,154%,150%,152%,158%,153%,136%,118%,114%,113%,115%,111%,117%,119%,113%,134%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Concentration in Construction & Development,Lumbee Guaranty Bank,35%,47%,52%,51%,57%,59%,59%,59%,60%,58%,61%,65%,63%,63%,63%,60%,65%,67%,64%,72%,71%,77%,71%,79%,85%,85%,90%,84%,85%,81%,80%,82%,77%,84%,89%,87%,87%,85%,82%,75%,85%,92%,91%,94%,90%,77%,65%,78%,79%,79%,74%,80%,81%,74%,104%,101%,93%,81%,68%,67%,74%,78%,79%,79%,75%,65%,71%,79%,72%,64%,61%,59%
Concentration in 1-4 Family,Lumbee Guaranty Bank,126%,139%,141%,144%,141%,140%,138%,140%,140%,143%,144%,146%,143%,143%,146%,147%,149%,158%,161%,159%,160%,167%,161%,167%,173%,179%,178%,176%,185%,189%,186%,185%,185%,190%,187%,190%,188%,186%,189%,197%,194%,197%,192%,198%,191%,195%,192%,188%,180%,180%,175%,181%,176%,178%,181%,185%,190%,193%,191%,194%,195%,200%,193%,188%,188%,197%,184%,182%,176%,175%,173%,170%
Concentration in Commercial & Industrial,Lumbee Guaranty Bank,70%,68%,19%,20%,20%,20%,16%,17%,19%,17%,17%,17%,20%,23%,23%,24%,23%,24%,24%,22%,20%,23%,28%,30%,31%,34%,36%,31%,32%,30%,28%,28%,29%,31%,29%,31%,30%,27%,27%,27%,29%,29%,27%,31%,31%,31%,31%,33%,32%,33%,29%,30%,32%,30%,29%,29%,33%,35%,35%,34%,34%,36%,36%,37%,34%,36%,38%,39%,41%,43%,40%,40%
Concentration in Individual Loans,Lumbee Guaranty Bank,16%,16%,17%,17%,17%,18%,18%,19%,19%,18%,17%,18%,17%,17%,16%,17%,18%,18%,19%,20%,20%,22%,22%,24%,25%,26%,26%,28%,30%,31%,32%,34%,35%,36%,35%,38%,41%,41%,41%,43%,43%,48%,48%,51%,52%,53%,53%,54%,55%,55%,57%,60%,61%,62%,63%,66%,68%,70%,70%,72%,74%,75%,74%,77%,82%,85%,88%,91%,92%,93%,93%,99%
